document,degradation,level,pipeline,cer,wer,taux_mots_detectes,taux_mots_manquants
0011976929.png,flou_gaussien,faible,aucun,0.278372591006424,0.5875,0.5774647887323944,0.4225352112676056
0011976929.png,flou_gaussien,faible,deskew_seul,0.4860813704496788,0.8375,0.49295774647887325,0.5070422535211268
0011976929.png,flou_gaussien,faible,denoise_seul,0.4411134903640257,0.775,0.29577464788732394,0.704225352112676
0011976929.png,flou_gaussien,faible,contraste_seul,0.44539614561027835,0.7375,0.4225352112676056,0.5774647887323944
0011976929.png,flou_gaussien,faible,binarisation_seule,0.37044967880085655,0.7375,0.43661971830985913,0.5633802816901409
0011976929.png,flou_gaussien,faible,pipeline_complet,0.702355460385439,0.975,0.056338028169014086,0.9436619718309859
0001129658.png,flou_gaussien,faible,aucun,0.7049518569463549,0.889344262295082,0.18,0.8200000000000001
0001129658.png,flou_gaussien,faible,deskew_seul,0.827372764786795,0.9672131147540983,0.04,0.96
0001129658.png,flou_gaussien,faible,denoise_seul,0.7159559834938102,0.8975409836065574,0.135,0.865
0001129658.png,flou_gaussien,faible,contraste_seul,0.8452544704264099,0.9836065573770492,0.035,0.965
0001129658.png,flou_gaussien,faible,binarisation_seule,0.6788170563961485,0.9139344262295082,0.13,0.87
0001129658.png,flou_gaussien,faible,pipeline_complet,0.9704264099037139,1.0,0.0,1.0
00865872.png,flou_gaussien,faible,aucun,0.4916387959866221,0.49635036496350365,0.5363636363636364,0.4636363636363636
00865872.png,flou_gaussien,faible,deskew_seul,0.4604236343366778,0.45985401459854014,0.5454545454545454,0.4545454545454546
00865872.png,flou_gaussien,faible,denoise_seul,0.5763656633221851,0.6423357664233577,0.44545454545454544,0.5545454545454546
00865872.png,flou_gaussien,faible,contraste_seul,0.47268673355629875,0.5109489051094891,0.5181818181818182,0.4818181818181818
00865872.png,flou_gaussien,faible,binarisation_seule,0.5150501672240803,0.708029197080292,0.34545454545454546,0.6545454545454545
00865872.png,flou_gaussien,faible,pipeline_complet,0.6510590858416946,0.8540145985401459,0.17272727272727273,0.8272727272727273
0071032807.png,flou_gaussien,faible,aucun,0.3185840707964602,0.5441176470588235,0.6065573770491803,0.39344262295081966
0071032807.png,flou_gaussien,faible,deskew_seul,0.3185840707964602,0.5441176470588235,0.6065573770491803,0.39344262295081966
0071032807.png,flou_gaussien,faible,denoise_seul,0.3672566371681416,0.6176470588235294,0.5081967213114754,0.4918032786885246
0071032807.png,flou_gaussien,faible,contraste_seul,0.922566371681416,0.9411764705882353,0.06557377049180328,0.9344262295081968
0071032807.png,flou_gaussien,faible,binarisation_seule,0.40486725663716816,0.7352941176470589,0.3442622950819672,0.6557377049180328
0071032807.png,flou_gaussien,faible,pipeline_complet,0.49336283185840707,0.8823529411764706,0.09836065573770492,0.9016393442622951
0060270727.png,flou_gaussien,faible,aucun,0.6098964326812428,0.8895348837209303,0.5045871559633027,0.4954128440366973
0060270727.png,flou_gaussien,faible,deskew_seul,0.6098964326812428,0.8895348837209303,0.5045871559633027,0.4954128440366973
0060270727.png,flou_gaussien,faible,denoise_seul,0.6490218642117376,0.8837209302325582,0.44954128440366975,0.5504587155963303
0060270727.png,flou_gaussien,faible,contraste_seul,0.6605293440736478,0.9186046511627907,0.3761467889908257,0.6238532110091743
0060270727.png,flou_gaussien,faible,binarisation_seule,0.760644418872267,0.9244186046511628,0.25688073394495414,0.7431192660550459
0060270727.png,flou_gaussien,faible,pipeline_complet,0.7410817031070196,0.9476744186046512,0.23853211009174313,0.7614678899082569
0013255595.png,flou_gaussien,faible,aucun,0.49783549783549785,0.6470588235294118,0.5294117647058824,0.47058823529411764
0013255595.png,flou_gaussien,faible,deskew_seul,0.49783549783549785,0.6470588235294118,0.5294117647058824,0.47058823529411764
0013255595.png,flou_gaussien,faible,denoise_seul,0.47186147186147187,0.6764705882352942,0.4411764705882353,0.5588235294117647
0013255595.png,flou_gaussien,faible,contraste_seul,0.5238095238095238,0.7647058823529411,0.5588235294117647,0.4411764705882353
0013255595.png,flou_gaussien,faible,binarisation_seule,0.5194805194805194,0.8823529411764706,0.29411764705882354,0.7058823529411764
0013255595.png,flou_gaussien,faible,pipeline_complet,0.5627705627705628,0.9411764705882353,0.14705882352941177,0.8529411764705882
0011973451.png,flou_gaussien,faible,aucun,0.6103575832305795,0.75,0.308411214953271,0.691588785046729
0011973451.png,flou_gaussien,faible,deskew_seul,0.6103575832305795,0.75,0.308411214953271,0.691588785046729
0011973451.png,flou_gaussien,faible,denoise_seul,0.6411837237977805,0.8064516129032258,0.24299065420560748,0.7570093457943925
0011973451.png,flou_gaussien,faible,contraste_seul,0.9346485819975339,0.9596774193548387,0.056074766355140186,0.9439252336448598
0011973451.png,flou_gaussien,faible,binarisation_seule,0.5906288532675709,0.7741935483870968,0.2803738317757009,0.719626168224299
0011973451.png,flou_gaussien,faible,pipeline_complet,0.6054254007398274,0.7983870967741935,0.2616822429906542,0.7383177570093458
92327794.png,flou_gaussien,faible,aucun,0.75,0.8701298701298701,0.19117647058823528,0.8088235294117647
92327794.png,flou_gaussien,faible,deskew_seul,0.7566964285714286,0.8831168831168831,0.16176470588235295,0.8382352941176471
92327794.png,flou_gaussien,faible,denoise_seul,0.6294642857142857,0.8181818181818182,0.19117647058823528,0.8088235294117647
92327794.png,flou_gaussien,faible,contraste_seul,0.7276785714285714,0.8441558441558441,0.20588235294117646,0.7941176470588236
92327794.png,flou_gaussien,faible,binarisation_seule,0.6674107142857143,0.8441558441558441,0.22058823529411764,0.7794117647058824
92327794.png,flou_gaussien,faible,pipeline_complet,0.7522321428571429,0.974025974025974,0.07352941176470588,0.9264705882352942
0011856542.png,flou_gaussien,faible,aucun,0.4326241134751773,0.6896551724137931,0.47435897435897434,0.5256410256410257
0011856542.png,flou_gaussien,faible,deskew_seul,0.4326241134751773,0.6896551724137931,0.47435897435897434,0.5256410256410257
0011856542.png,flou_gaussien,faible,denoise_seul,0.36347517730496454,0.7126436781609196,0.47435897435897434,0.5256410256410257
0011856542.png,flou_gaussien,faible,contraste_seul,0.32092198581560283,0.6206896551724138,0.5641025641025641,0.4358974358974359
0011856542.png,flou_gaussien,faible,binarisation_seule,0.49645390070921985,0.8620689655172413,0.32051282051282054,0.6794871794871795
0011856542.png,flou_gaussien,faible,pipeline_complet,0.5585106382978723,0.9195402298850575,0.10256410256410256,0.8974358974358975
87533049.png,flou_gaussien,faible,aucun,0.4098883572567783,0.6636363636363637,0.34408602150537637,0.6559139784946236
87533049.png,flou_gaussien,faible,deskew_seul,0.48963317384370014,0.8,0.3870967741935484,0.6129032258064516
87533049.png,flou_gaussien,faible,denoise_seul,0.49122807017543857,0.8636363636363636,0.3225806451612903,0.6774193548387097
87533049.png,flou_gaussien,faible,contraste_seul,0.6555023923444976,0.9272727272727272,0.3118279569892473,0.6881720430107527
87533049.png,flou_gaussien,faible,binarisation_seule,0.5566188197767146,0.8636363636363636,0.17204301075268819,0.8279569892473118
87533049.png,flou_gaussien,faible,pipeline_complet,0.6539074960127592,0.9727272727272728,0.10752688172043011,0.8924731182795699
0001239897.png,flou_gaussien,faible,aucun,1.0,1.0,0.0,1.0
0001239897.png,flou_gaussien,faible,deskew_seul,1.0,1.0,0.0,1.0
0001239897.png,flou_gaussien,faible,denoise_seul,1.0,1.0,0.0,1.0
0001239897.png,flou_gaussien,faible,contraste_seul,0.8477157360406091,0.924812030075188,0.09574468085106383,0.9042553191489362
0001239897.png,flou_gaussien,faible,binarisation_seule,0.8781725888324873,0.9699248120300752,0.0425531914893617,0.9574468085106383
0001239897.png,flou_gaussien,faible,pipeline_complet,0.9873096446700508,1.0,0.0,1.0
