document,condition,degradation,precision_exact,recall_exact,f1_exact,precision_partial,recall_partial,f1_partial,taux_labels_retrouves,nb_paires_verite_terrain,nb_paires_predites
0011976929.png,degrade,compression_jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9
0001129658.png,degrade,faible_contraste,0.0,0.0,0.0,0.1,0.071,0.083,0.222,13,10
00865872.png,degrade,faible_contraste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0
0071032807.png,degrade,effet_scan_degrade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
0060270727.png,degrade,bruit_aleatoire,0.0,0.0,0.0,0.0,0.0,0.0,0.048,21,22
0013255595.png,degrade,effet_scan_degrade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
0011973451.png,degrade,bruit_aleatoire,0.0,0.0,0.0,0.0,0.0,0.0,0.071,15,19
92327794.png,degrade,compression_jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
0011856542.png,degrade,rotation_legere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2
87533049.png,degrade,flou_gaussien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0
0001239897.png,degrade,bruit_aleatoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1
0001209043.png,degrade,effet_scan_degrade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,1
0011859695.png,degrade,ombres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
0060255888.png,degrade,ombres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0
0060308251.png,degrade,compression_jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
91914407.png,degrade,rotation_legere,0.083,0.143,0.105,0.333,0.571,0.421,0.667,7,12
0001129658.png,degrade,distorsion_decalage,0.0,0.0,0.0,0.0,0.0,0.0,0.111,13,11
92657391.png,degrade,effet_scan_degrade,0.0,0.0,0.0,0.071,0.067,0.069,0.375,15,14
0060136394.png,degrade,ombres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0
82254638.png,degrade,faible_contraste,0.0,0.0,0.0,0.182,0.083,0.114,0.105,20,11
0060262650.png,degrade,faible_contraste,0.0,0.0,0.0,0.25,0.033,0.059,0.083,28,4
89386032.png,degrade,ombres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
00866042.png,degrade,bruit_aleatoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3
0000989556.png,degrade,effet_scan_degrade,0.0,0.0,0.0,0.0,0.0,0.0,0.025,40,2
0060007216.png,degrade,distorsion_decalage,1.0,0.056,0.105,1.0,0.056,0.105,0.1,18,1
87533049.png,degrade,bruit_aleatoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,7
660978.png,degrade,flou_gaussien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
0060000813.png,degrade,distorsion_decalage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,11
0060255888.png,degrade,flou_gaussien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0
13149651.png,degrade,bruit_aleatoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,7
0011859695.png,degrade,effet_scan_degrade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1
80310840a.png,degrade,rotation_legere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1
0011899960.png,degrade,distorsion_decalage,0.0,0.0,0.0,0.0,0.0,0.0,0.091,12,1
71206427.png,degrade,ombres,0.2,0.083,0.118,0.4,0.167,0.235,0.286,12,5
71108371.png,degrade,flou_gaussien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0
00851772_1780.png,degrade,effet_scan_degrade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
0001463282.png,degrade,flou_gaussien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0
91104867.png,degrade,compression_jpeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,2
92298125.png,degrade,rotation_legere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
0012529284.png,degrade,ombres,0.0,0.0,0.0,0.067,0.037,0.048,0.1,27,12
