document,condition,precision_exact,recall_exact,f1_exact,precision_partial,recall_partial,f1_partial,taux_labels_retrouves,nb_paires_verite_terrain,nb_paires_predites
0000971160.png,original,0.0,0.0,0.0,0.1,0.125,0.111,0.286,8,10
0000989556.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.1,40,18
0000990274.png,original,0.0,0.0,0.0,0.125,0.077,0.095,0.091,13,8
0000999294.png,original,0.111,0.005,0.01,0.333,0.015,0.029,0.091,185,9
0001118259.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1
0001123541.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8
0001129658.png,original,0.0,0.0,0.0,0.1,0.071,0.083,0.222,13,10
0001209043.png,original,0.0,0.0,0.0,0.167,0.017,0.03,0.05,55,6
0001239897.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1
0001438955.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,3
0001456787.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5
0001463282.png,original,0.036,0.024,0.029,0.069,0.047,0.056,0.097,41,28
0001463448.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
0001476912.png,original,0.0,0.0,0.0,0.25,0.057,0.093,0.182,29,8
0001477983.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,13
0001485288.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3
00040534.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.045,38,3
00070353.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.143,7,6
00093726.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0
0011505151.png,original,0.167,0.059,0.087,0.333,0.118,0.174,0.118,17,6
0011838621.png,original,0.0,0.0,0.0,0.176,0.103,0.13,0.19,27,17
0011845203.png,original,0.0,0.0,0.0,0.111,0.111,0.111,0.222,9,9
0011856542.png,original,0.0,0.0,0.0,0.5,0.125,0.2,0.125,8,2
0011859695.png,original,0.0,0.0,0.0,0.5,0.091,0.154,0.111,11,2
0011899960.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.091,12,1
0011906503.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.071,21,6
0011973451.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.071,15,19
0011974919.png,original,0.0,0.0,0.0,0.4,0.273,0.324,0.4,22,15
0011976929.png,original,0.0,0.0,0.0,0.111,0.091,0.1,0.111,11,9
0012178355.png,original,0.0,0.0,0.0,0.167,0.111,0.133,0.222,9,6
0012199830.png,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2
