document,field,ground_truth,pred_rules,pred_layout
0000971160.png,DATE,9/ 3/ 92,,__9/3/92
0000971160.png,FROM,,,the list submitted of
0000971160.png,TO,,,as ends are stability
0000989556.png,APPROVED_BY,"Director of Technical Operations, Brown & Williamson International Tobacco",Dicector of Technical operations,by: Dicector of Technical
0000989556.png,DATE,"May 1, 1985",,
0000989556.png,FROM,,,mouth ene
0000989556.png,TO,,,"Cigt. we. 978, ng"
0000990274.png,DATE,"March 27, 1984",,NO.: 8} March 25-84
0000990274.png,FROM,,,Rep BY
0000990274.png,TO,,,be cent to RED
0000999294.png,SUBJECT,KOOL Lights KS vs. Bright KS Product Monitor,,
0000999294.png,TO,,,PRODUCT TEST PROJECT PAGE
0001118259.png,DATE,,05/11/95,05/11/95 Formulas
0001118259.png,TO,,,Leaf Substitutions
0001123541.png,DATE,6/ 21/ 93,,
0001123541.png,TO,,,cleaning understand
0001129658.png,CC,,,sity it othe prohibited
0001129658.png,DATE,10/ 13/ 99,,
0001129658.png,FROM,Kevin Narko,Kevin Narko CHARGEBACK,Kevin Narko Fax Number:
0001129658.png,TO,,,number of pages including
0001209043.png,DATE,4/19/74,,Sent 4/19/74
0001209043.png,SUBJECT,,to wide,to of wide small
0001209043.png,TO,,,Sample 214
0001239897.png,SUBJECT,25% Replacement of Propylene Glycol With SORBITOL,,
0001456787.png,CC,,,s/t
0001456787.png,TO,,,Pramure Drop (unencap.)
0001463282.png,APPROVED_BY,,Date J,"By: BW, LE, Byeney"
0001463282.png,CC,K. A. Hutchison S. A. Howard,S. Willinger,S. Willinger (3) Project
0001463282.png,DATE,5/ 3/ 90,,_4/16/90 (Recomended Proposal Attached)
0001463282.png,TO,,,al_cost 23.3 Cost ___s84.2__
0001463448.png,TO,,,THE
0001476912.png,TO,,,CORPORATION
0001477983.png,DATE,,,"place, persons and receiving"
0001477983.png,TO,,,"report the Providence, previous"
